text,label
It barely worked and felt terrible.,0
I'm genuinely disappointed. annoying and frustrating.,0
The experience was fantastic. Great job.,1
This was excellent. The product made me happy.,1
This was frustrating. The product made me annoyed.,0
So annoying! I regret every minute of it.,0
It barely worked and felt disappointing.,0
It worked perfectly and felt fantastic.,1
So horrible! I regret every minute of it.,0
It barely worked and felt terrible.,0
Absolutely annoying. Would never try again.,0
The app was broken. Terrible job.,0
I loved this app. It was wonderful and superb.,1
This was excellent. The experience made me happy.,1
Absolutely annoying. Would never try again.,0
So wonderful! I enjoyed every minute of it.,1
So terrible! I regret every minute of it.,0
The feature was delightful. Great job.,1
I'm genuinely impressed. excellent and satisfying.,1
I hated this update. It was bad and unreliable.,0
I'm genuinely disappointed. horrible and frustrating.,0
So frustrating! I regret every minute of it.,0
The game was delightful. Great job.,1
It worked perfectly and felt great.,1
This was pleasant. The game made me happy.,1
Worse than expected — horrible experience.,0
This was frustrating. The feature made me annoyed.,0
The experience was fantastic. Great job.,1
This was horrible. The movie made me annoyed.,0
It worked perfectly and felt smooth.,1
I'm genuinely disappointed. disappointing and frustrating.,0
This was frustrating. The update made me annoyed.,0
I'm genuinely impressed. delightful and satisfying.,1
This was great. The movie made me happy.,1
It barely worked and felt terrible.,0
The game was amazing. Great job.,1
Absolutely delightful. Would try again.,1
I'm genuinely disappointed. disappointing and frustrating.,0
This was wonderful. The feature made me happy.,1
Absolutely awful. Would never watch again.,0
It worked perfectly and felt fantastic.,1
I'm genuinely disappointed. terrible and frustrating.,0
It barely worked and felt frustrating.,0
I'm genuinely disappointed. frustrating and frustrating.,0
Absolutely horrible. Would never use again.,0
I hated this service. It was bad and boring.,0
Absolutely frustrating. Would never watch again.,0
I hated this movie. It was terrible and messy.,0
I loved this game. It was pleasant and refreshing.,1
I hated this service. It was bad and unreliable.,0
So delightful! I enjoyed every minute of it.,1
It worked perfectly and felt amazing.,1
It worked perfectly and felt amazing.,1
Worse than expected — disappointing experience.,0
It worked perfectly and felt delightful.,1
Absolutely fantastic. Would watch again.,1
The update was wonderful. Great job.,1
Absolutely excellent. Would watch again.,1
I hated this service. It was disappointing and confusing.,0
It worked perfectly and felt amazing.,1
I hated this update. It was horrible and a waste of time.,0
Worse than expected — broken experience.,0
Absolutely horrible. Would never recommend again.,0
It worked perfectly and felt pleasant.,1
It worked perfectly and felt delightful.,1
I loved this game. It was fantastic and satisfying.,1
The product was annoying. Terrible job.,0
Worse than expected — terrible experience.,0
I'm genuinely impressed. wonderful and satisfying.,1
I'm genuinely impressed. delightful and satisfying.,1
I'm genuinely impressed. pleasant and satisfying.,1
It worked perfectly and felt great.,1
Better than expected — delightful experience.,1
I loved this experience. It was great and satisfying.,1
So annoying! I regret every minute of it.,0
The product was delightful. Great job.,1
It barely worked and felt horrible.,0
Absolutely pleasant. Would use again.,1
The update was terrible. Terrible job.,0
The experience was frustrating. Terrible job.,0
This was terrible. The experience made me annoyed.,0
The game was awful. Terrible job.,0
I loved this service. It was fantastic and engaging.,1
I'm genuinely impressed. smooth and satisfying.,1
Absolutely delightful. Would buy again.,1
It barely worked and felt horrible.,0
I loved this experience. It was delightful and engaging.,1
Absolutely fantastic. Would watch again.,1
I'm genuinely disappointed. awful and frustrating.,0
This was excellent. The app made me happy.,1
I'm genuinely impressed. smooth and satisfying.,1
I'm genuinely impressed. wonderful and satisfying.,1
The experience was excellent. Great job.,1
So annoying! I regret every minute of it.,0
Better than expected — fantastic experience.,1
I'm genuinely impressed. wonderful and satisfying.,1
The product was broken. Terrible job.,0
This was amazing. The experience made me happy.,1
The service was amazing. Great job.,1
This was horrible. The movie made me annoyed.,0
I'm genuinely disappointed. disappointing and frustrating.,0
I loved this game. It was amazing and engaging.,1
This was great. The movie made me happy.,1
Worse than expected — frustrating experience.,0
Better than expected — wonderful experience.,1
The experience was frustrating. Terrible job.,0
I'm genuinely impressed. amazing and satisfying.,1
It worked perfectly and felt fantastic.,1
Better than expected — amazing experience.,1
So terrible! I regret every minute of it.,0
I'm genuinely disappointed. awful and frustrating.,0
This was fantastic. The feature made me happy.,1
Better than expected — great experience.,1
It barely worked and felt broken.,0
I loved this experience. It was smooth and reliable.,1
It barely worked and felt awful.,0
I'm genuinely impressed. great and satisfying.,1
So disappointing! I regret every minute of it.,0
So pleasant! I enjoyed every minute of it.,1
So disappointing! I regret every minute of it.,0
Absolutely terrible. Would never install again.,0
I loved this product. It was smooth and fun.,1
Worse than expected — horrible experience.,0
Better than expected — wonderful experience.,1
So delightful! I enjoyed every minute of it.,1
The experience was fantastic. Great job.,1
The experience was amazing. Great job.,1
So amazing! I enjoyed every minute of it.,1
I'm genuinely impressed. amazing and satisfying.,1
It worked perfectly and felt smooth.,1
This was broken. The product made me annoyed.,0
I'm genuinely impressed. delightful and satisfying.,1
So excellent! I enjoyed every minute of it.,1
The service was horrible. Terrible job.,0
Better than expected — great experience.,1
I loved this experience. It was amazing and well-made.,1
This was pleasant. The movie made me happy.,1
Absolutely frustrating. Would never watch again.,0
I'm genuinely impressed. great and satisfying.,1
So frustrating! I regret every minute of it.,0
Absolutely disappointing. Would never watch again.,0
Absolutely annoying. Would never buy again.,0
Better than expected — excellent experience.,1
I'm genuinely disappointed. awful and frustrating.,0
I hated this product. It was annoying and a waste of time.,0
Absolutely pleasant. Would recommend again.,1
It barely worked and felt horrible.,0
The game was horrible. Terrible job.,0
I loved this app. It was wonderful and engaging.,1
Worse than expected — annoying experience.,0
It barely worked and felt frustrating.,0
It worked perfectly and felt excellent.,1
Worse than expected — annoying experience.,0
I loved this app. It was smooth and well-made.,1
This was horrible. The app made me annoyed.,0
This was awful. The app made me annoyed.,0
So wonderful! I enjoyed every minute of it.,1
I'm genuinely disappointed. horrible and frustrating.,0
Worse than expected — bad experience.,0
This was excellent. The product made me happy.,1
I loved this game. It was fantastic and refreshing.,1
I hated this service. It was broken and poorly made.,0
It barely worked and felt disappointing.,0
I'm genuinely impressed. excellent and satisfying.,1
Worse than expected — annoying experience.,0
Better than expected — excellent experience.,1
Absolutely broken. Would never install again.,0
So amazing! I enjoyed every minute of it.,1
So amazing! I enjoyed every minute of it.,1
Worse than expected — horrible experience.,0
Better than expected — fantastic experience.,1
The update was disappointing. Terrible job.,0
I hated this experience. It was frustrating and painful.,0
I'm genuinely disappointed. terrible and frustrating.,0
I hated this movie. It was horrible and low quality.,0
Better than expected — pleasant experience.,1
I'm genuinely disappointed. horrible and frustrating.,0
This was horrible. The game made me annoyed.,0
It barely worked and felt terrible.,0
I'm genuinely disappointed. bad and frustrating.,0
Absolutely delightful. Would recommend again.,1
Absolutely annoying. Would never use again.,0
It worked perfectly and felt wonderful.,1
Absolutely disappointing. Would never buy again.,0
So horrible! I regret every minute of it.,0
This was horrible. The update made me annoyed.,0
The service was fantastic. Great job.,1
Absolutely delightful. Would try again.,1
So broken! I regret every minute of it.,0
This was wonderful. The movie made me happy.,1
The update was horrible. Terrible job.,0
Absolutely broken. Would never recommend again.,0
I hated this feature. It was horrible and low quality.,0
So pleasant! I enjoyed every minute of it.,1
Better than expected — delightful experience.,1
I'm genuinely disappointed. awful and frustrating.,0
Better than expected — excellent experience.,1
I'm genuinely disappointed. broken and frustrating.,0
This was broken. The service made me annoyed.,0
I hated this movie. It was frustrating and unreliable.,0
So horrible! I regret every minute of it.,0
The service was horrible. Terrible job.,0
This was pleasant. The feature made me happy.,1
I'm genuinely impressed. fantastic and satisfying.,1
The game was great. Great job.,1
Absolutely smooth. Would install again.,1
It barely worked and felt disappointing.,0
I loved this app. It was delightful and reliable.,1
Absolutely terrible. Would never recommend again.,0
Better than expected — excellent experience.,1
This was horrible. The movie made me annoyed.,0
It worked perfectly and felt delightful.,1
I loved this game. It was great and satisfying.,1
Absolutely pleasant. Would install again.,1
I'm genuinely impressed. amazing and satisfying.,1
Absolutely terrible. Would never watch again.,0
The game was smooth. Great job.,1
I'm genuinely impressed. excellent and satisfying.,1
I hated this experience. It was bad and boring.,0
It worked perfectly and felt wonderful.,1
I'm genuinely disappointed. horrible and frustrating.,0
The movie was annoying. Terrible job.,0
So broken! I regret every minute of it.,0
The product was fantastic. Great job.,1
I loved this game. It was wonderful and reliable.,1
So bad! I regret every minute of it.,0
I'm genuinely disappointed. terrible and frustrating.,0
This was great. The movie made me happy.,1
It worked perfectly and felt smooth.,1
So wonderful! I enjoyed every minute of it.,1
I'm genuinely disappointed. disappointing and frustrating.,0
It barely worked and felt disappointing.,0
This was pleasant. The service made me happy.,1
The experience was bad. Terrible job.,0
It barely worked and felt awful.,0
I'm genuinely impressed. great and satisfying.,1
Better than expected — wonderful experience.,1
It worked perfectly and felt pleasant.,1
The game was great. Great job.,1
I hated this feature. It was horrible and a waste of time.,0
It worked perfectly and felt delightful.,1
Worse than expected — broken experience.,0
I'm genuinely disappointed. annoying and frustrating.,0
Better than expected — delightful experience.,1
I hated this service. It was disappointing and unreliable.,0
Worse than expected — bad experience.,0
I hated this game. It was awful and painful.,0
So bad! I regret every minute of it.,0
So frustrating! I regret every minute of it.,0
Worse than expected — disappointing experience.,0
I'm genuinely disappointed. annoying and frustrating.,0
This was pleasant. The app made me happy.,1
This was smooth. The app made me happy.,1
I loved this product. It was amazing and superb.,1
I'm genuinely impressed. fantastic and satisfying.,1
Better than expected — great experience.,1
This was disappointing. The service made me annoyed.,0
Better than expected — great experience.,1
This was disappointing. The update made me annoyed.,0
Absolutely awful. Would never buy again.,0
I hated this experience. It was broken and confusing.,0
It barely worked and felt awful.,0
It barely worked and felt terrible.,0
It worked perfectly and felt delightful.,1
It barely worked and felt frustrating.,0
This was horrible. The game made me annoyed.,0
I'm genuinely impressed. great and satisfying.,1
Absolutely excellent. Would recommend again.,1
I'm genuinely impressed. excellent and satisfying.,1
Absolutely terrible. Would never use again.,0
Absolutely horrible. Would never try again.,0
Worse than expected — broken experience.,0
So broken! I regret every minute of it.,0
I'm genuinely impressed. pleasant and satisfying.,1
Worse than expected — annoying experience.,0
I'm genuinely impressed. delightful and satisfying.,1
I'm genuinely impressed. pleasant and satisfying.,1
Better than expected — delightful experience.,1
So terrible! I regret every minute of it.,0
The feature was disappointing. Terrible job.,0
I'm genuinely impressed. fantastic and satisfying.,1
I'm genuinely disappointed. awful and frustrating.,0
This was frustrating. The app made me annoyed.,0
Absolutely bad. Would never watch again.,0
So terrible! I regret every minute of it.,0
Better than expected — smooth experience.,1
It barely worked and felt disappointing.,0
I'm genuinely disappointed. awful and frustrating.,0
The movie was annoying. Terrible job.,0
This was excellent. The service made me happy.,1
Worse than expected — horrible experience.,0
I loved this service. It was great and engaging.,1
Better than expected — great experience.,1
The experience was smooth. Great job.,1
Absolutely disappointing. Would never try again.,0
The movie was fantastic. Great job.,1
I hated this update. It was annoying and messy.,0
I'm genuinely impressed. pleasant and satisfying.,1
Absolutely bad. Would never recommend again.,0
I loved this feature. It was pleasant and well-made.,1
I'm genuinely disappointed. broken and frustrating.,0
I loved this feature. It was pleasant and refreshing.,1
The experience was wonderful. Great job.,1
It barely worked and felt annoying.,0
It worked perfectly and felt amazing.,1
The game was smooth. Great job.,1
This was great. The game made me happy.,1
Absolutely terrible. Would never recommend again.,0
So excellent! I enjoyed every minute of it.,1
Absolutely wonderful. Would try again.,1
Worse than expected — broken experience.,0
I hated this experience. It was disappointing and poorly made.,0
I hated this experience. It was bad and low quality.,0
It barely worked and felt awful.,0
This was annoying. The movie made me annoyed.,0
Worse than expected — terrible experience.,0
The service was pleasant. Great job.,1
Better than expected — great experience.,1
This was annoying. The update made me annoyed.,0
Worse than expected — bad experience.,0
This was horrible. The service made me annoyed.,0
Worse than expected — annoying experience.,0
So delightful! I enjoyed every minute of it.,1
The experience was pleasant. Great job.,1
I loved this experience. It was pleasant and high quality.,1
I loved this service. It was wonderful and satisfying.,1
I loved this experience. It was smooth and reliable.,1
Absolutely broken. Would never use again.,0
This was great. The game made me happy.,1
I'm genuinely disappointed. frustrating and frustrating.,0
Better than expected — amazing experience.,1
Worse than expected — terrible experience.,0
Worse than expected — terrible experience.,0
I hated this experience. It was disappointing and boring.,0
It barely worked and felt annoying.,0
Absolutely wonderful. Would buy again.,1
Better than expected — delightful experience.,1
Absolutely bad. Would never use again.,0
I hated this movie. It was terrible and confusing.,0
I loved this service. It was excellent and superb.,1
This was disappointing. The service made me annoyed.,0
I'm genuinely disappointed. broken and frustrating.,0
I loved this movie. It was great and engaging.,1
I'm genuinely impressed. pleasant and satisfying.,1
The experience was smooth. Great job.,1
Absolutely horrible. Would never watch again.,0
The update was bad. Terrible job.,0
Better than expected — smooth experience.,1
Absolutely wonderful. Would buy again.,1
This was disappointing. The experience made me annoyed.,0
Better than expected — fantastic experience.,1
I'm genuinely disappointed. broken and frustrating.,0
Better than expected — smooth experience.,1
I'm genuinely impressed. delightful and satisfying.,1
The product was fantastic. Great job.,1
So pleasant! I enjoyed every minute of it.,1
I'm genuinely impressed. great and satisfying.,1
So terrible! I regret every minute of it.,0
This was great. The service made me happy.,1
Absolutely broken. Would never recommend again.,0
It worked perfectly and felt wonderful.,1
The feature was smooth. Great job.,1
The service was awful. Terrible job.,0
It worked perfectly and felt wonderful.,1
Absolutely frustrating. Would never watch again.,0
It worked perfectly and felt smooth.,1
The movie was awful. Terrible job.,0
The app was awful. Terrible job.,0
I'm genuinely impressed. smooth and satisfying.,1
It worked perfectly and felt great.,1
So delightful! I enjoyed every minute of it.,1
This was delightful. The app made me happy.,1
Worse than expected — frustrating experience.,0
This was pleasant. The game made me happy.,1
I'm genuinely disappointed. horrible and frustrating.,0
I hated this product. It was bad and a waste of time.,0
Worse than expected — horrible experience.,0
The product was terrible. Terrible job.,0
The update was terrible. Terrible job.,0
So excellent! I enjoyed every minute of it.,1
The service was broken. Terrible job.,0
Absolutely awful. Would never watch again.,0
The experience was great. Great job.,1
Absolutely annoying. Would never buy again.,0
Absolutely bad. Would never buy again.,0
Absolutely delightful. Would use again.,1
It worked perfectly and felt wonderful.,1
So pleasant! I enjoyed every minute of it.,1
This was amazing. The update made me happy.,1
I'm genuinely impressed. great and satisfying.,1
This was great. The app made me happy.,1
I loved this app. It was excellent and reliable.,1
Absolutely disappointing. Would never use again.,0
It worked perfectly and felt smooth.,1
It barely worked and felt disappointing.,0
Worse than expected — broken experience.,0
I'm genuinely impressed. fantastic and satisfying.,1
