text,label
This was broken. The game made me annoyed.,0
I loved this game. It was delightful and engaging.,1
Absolutely frustrating. Would never buy again.,0
It barely worked and felt terrible.,0
Worse than expected — annoying experience.,0
I'm genuinely impressed. smooth and satisfying.,1
Absolutely pleasant. Would try again.,1
It worked perfectly and felt pleasant.,1
So horrible! I regret every minute of it.,0
So amazing! I enjoyed every minute of it.,1
Absolutely pleasant. Would install again.,1
Better than expected — delightful experience.,1
So great! I enjoyed every minute of it.,1
I'm genuinely impressed. wonderful and satisfying.,1
The movie was smooth. Great job.,1
Absolutely horrible. Would never install again.,0
The service was horrible. Terrible job.,0
I hated this service. It was frustrating and painful.,0
I hated this experience. It was frustrating and poorly made.,0
I hated this app. It was bad and confusing.,0
I loved this product. It was excellent and superb.,1
Absolutely bad. Would never recommend again.,0
Better than expected — wonderful experience.,1
This was awful. The experience made me annoyed.,0
Absolutely disappointing. Would never use again.,0
Absolutely excellent. Would use again.,1
I'm genuinely impressed. excellent and satisfying.,1
It barely worked and felt annoying.,0
It worked perfectly and felt delightful.,1
It barely worked and felt awful.,0
The product was disappointing. Terrible job.,0
So wonderful! I enjoyed every minute of it.,1
It worked perfectly and felt wonderful.,1
I loved this feature. It was wonderful and well-made.,1
This was amazing. The feature made me happy.,1
So pleasant! I enjoyed every minute of it.,1
So delightful! I enjoyed every minute of it.,1
It barely worked and felt horrible.,0
I'm genuinely impressed. excellent and satisfying.,1
So frustrating! I regret every minute of it.,0
I'm genuinely impressed. delightful and satisfying.,1
It worked perfectly and felt fantastic.,1
I'm genuinely impressed. wonderful and satisfying.,1
The game was smooth. Great job.,1
I loved this app. It was excellent and superb.,1
I hated this app. It was terrible and poorly made.,0
I'm genuinely impressed. delightful and satisfying.,1
Absolutely great. Would use again.,1
It barely worked and felt annoying.,0
The product was smooth. Great job.,1
The experience was broken. Terrible job.,0
This was bad. The product made me annoyed.,0
So fantastic! I enjoyed every minute of it.,1
It worked perfectly and felt great.,1
Absolutely wonderful. Would install again.,1
I loved this experience. It was excellent and well-made.,1
Absolutely terrible. Would never watch again.,0
The product was amazing. Great job.,1
I hated this product. It was bad and a waste of time.,0
Worse than expected — frustrating experience.,0
Absolutely awful. Would never recommend again.,0
This was awful. The game made me annoyed.,0
I'm genuinely disappointed. bad and frustrating.,0
It barely worked and felt annoying.,0
The product was delightful. Great job.,1
It worked perfectly and felt fantastic.,1
This was terrible. The update made me annoyed.,0
Absolutely terrible. Would never try again.,0
So fantastic! I enjoyed every minute of it.,1
I loved this game. It was wonderful and refreshing.,1
It worked perfectly and felt delightful.,1
I loved this service. It was smooth and high quality.,1
I hated this product. It was awful and poorly made.,0
Absolutely delightful. Would install again.,1
This was delightful. The game made me happy.,1
I loved this product. It was fantastic and high quality.,1
Better than expected — wonderful experience.,1
I hated this experience. It was annoying and poorly made.,0
This was delightful. The update made me happy.,1
I'm genuinely impressed. amazing and satisfying.,1
So horrible! I regret every minute of it.,0
The app was delightful. Great job.,1
The product was broken. Terrible job.,0
It barely worked and felt annoying.,0
It barely worked and felt terrible.,0
So awful! I regret every minute of it.,0
I'm genuinely impressed. great and satisfying.,1
So pleasant! I enjoyed every minute of it.,1
I'm genuinely disappointed. bad and frustrating.,0
Worse than expected — broken experience.,0
I hated this app. It was frustrating and messy.,0
I'm genuinely disappointed. broken and frustrating.,0
Absolutely fantastic. Would watch again.,1
The app was excellent. Great job.,1
It worked perfectly and felt wonderful.,1
Worse than expected — horrible experience.,0
I'm genuinely impressed. excellent and satisfying.,1
It barely worked and felt awful.,0
This was terrible. The experience made me annoyed.,0
So awful! I regret every minute of it.,0
I loved this game. It was fantastic and reliable.,1
Worse than expected — awful experience.,0
It worked perfectly and felt fantastic.,1
It worked perfectly and felt excellent.,1
Worse than expected — bad experience.,0
I'm genuinely impressed. delightful and satisfying.,1
Worse than expected — broken experience.,0
I'm genuinely disappointed. horrible and frustrating.,0
It barely worked and felt annoying.,0
Better than expected — great experience.,1
This was fantastic. The movie made me happy.,1
I'm genuinely impressed. wonderful and satisfying.,1
This was awful. The experience made me annoyed.,0
I hated this movie. It was broken and low quality.,0
The app was wonderful. Great job.,1
I'm genuinely disappointed. horrible and frustrating.,0
So awful! I regret every minute of it.,0
This was great. The product made me happy.,1
Absolutely fantastic. Would install again.,1
Absolutely disappointing. Would never watch again.,0
So delightful! I enjoyed every minute of it.,1
It worked perfectly and felt smooth.,1
This was frustrating. The app made me annoyed.,0
Absolutely smooth. Would watch again.,1
This was frustrating. The movie made me annoyed.,0
It worked perfectly and felt great.,1
This was great. The service made me happy.,1
Worse than expected — annoying experience.,0
So horrible! I regret every minute of it.,0
This was frustrating. The game made me annoyed.,0
I'm genuinely impressed. excellent and satisfying.,1
The service was delightful. Great job.,1
I'm genuinely disappointed. awful and frustrating.,0
Better than expected — pleasant experience.,1
The experience was fantastic. Great job.,1
So horrible! I regret every minute of it.,0
So frustrating! I regret every minute of it.,0
So excellent! I enjoyed every minute of it.,1
This was annoying. The product made me annoyed.,0
Better than expected — fantastic experience.,1
Better than expected — pleasant experience.,1
Absolutely bad. Would never buy again.,0
The movie was frustrating. Terrible job.,0
I'm genuinely impressed. excellent and satisfying.,1
This was excellent. The product made me happy.,1
So broken! I regret every minute of it.,0
I hated this product. It was awful and boring.,0
The service was fantastic. Great job.,1
Worse than expected — bad experience.,0
I'm genuinely disappointed. frustrating and frustrating.,0
The product was awful. Terrible job.,0
This was amazing. The experience made me happy.,1
Worse than expected — awful experience.,0
It worked perfectly and felt smooth.,1
I hated this update. It was bad and boring.,0
The service was frustrating. Terrible job.,0
This was disappointing. The app made me annoyed.,0
I loved this game. It was amazing and superb.,1
The app was delightful. Great job.,1
This was fantastic. The update made me happy.,1
This was wonderful. The feature made me happy.,1
So wonderful! I enjoyed every minute of it.,1
Worse than expected — frustrating experience.,0
So disappointing! I regret every minute of it.,0
Worse than expected — horrible experience.,0
Absolutely disappointing. Would never buy again.,0
The feature was pleasant. Great job.,1
It worked perfectly and felt fantastic.,1
I'm genuinely impressed. amazing and satisfying.,1
Absolutely pleasant. Would use again.,1
I'm genuinely disappointed. disappointing and frustrating.,0
It worked perfectly and felt amazing.,1
The app was horrible. Terrible job.,0
Worse than expected — awful experience.,0
I'm genuinely disappointed. terrible and frustrating.,0
It barely worked and felt disappointing.,0
So fantastic! I enjoyed every minute of it.,1
This was annoying. The game made me annoyed.,0
The game was disappointing. Terrible job.,0
Worse than expected — broken experience.,0
Better than expected — delightful experience.,1
Absolutely amazing. Would use again.,1
The product was smooth. Great job.,1
Better than expected — wonderful experience.,1
It worked perfectly and felt great.,1
The update was broken. Terrible job.,0
So broken! I regret every minute of it.,0
Absolutely annoying. Would never install again.,0
So annoying! I regret every minute of it.,0
I loved this game. It was great and reliable.,1
I hated this update. It was horrible and painful.,0
It barely worked and felt awful.,0
So smooth! I enjoyed every minute of it.,1
I'm genuinely disappointed. horrible and frustrating.,0
Absolutely great. Would use again.,1
I hated this update. It was annoying and painful.,0
The experience was annoying. Terrible job.,0
It worked perfectly and felt delightful.,1
I'm genuinely impressed. pleasant and satisfying.,1
I'm genuinely disappointed. horrible and frustrating.,0
The experience was horrible. Terrible job.,0
Absolutely awful. Would never watch again.,0
Absolutely frustrating. Would never buy again.,0
I'm genuinely impressed. fantastic and satisfying.,1
Worse than expected — bad experience.,0
Absolutely pleasant. Would install again.,1
I'm genuinely disappointed. disappointing and frustrating.,0
This was broken. The movie made me annoyed.,0
Better than expected — great experience.,1
This was excellent. The movie made me happy.,1
It worked perfectly and felt excellent.,1
Worse than expected — frustrating experience.,0
So bad! I regret every minute of it.,0
Worse than expected — terrible experience.,0
It barely worked and felt horrible.,0
So excellent! I enjoyed every minute of it.,1
I'm genuinely disappointed. frustrating and frustrating.,0
I loved this update. It was amazing and refreshing.,1
So fantastic! I enjoyed every minute of it.,1
So fantastic! I enjoyed every minute of it.,1
So fantastic! I enjoyed every minute of it.,1
I'm genuinely disappointed. terrible and frustrating.,0
So disappointing! I regret every minute of it.,0
So wonderful! I enjoyed every minute of it.,1
I'm genuinely impressed. fantastic and satisfying.,1
I'm genuinely disappointed. bad and frustrating.,0
I'm genuinely impressed. amazing and satisfying.,1
I loved this product. It was fantastic and well-made.,1
So amazing! I enjoyed every minute of it.,1
Better than expected — great experience.,1
It worked perfectly and felt pleasant.,1
I'm genuinely impressed. great and satisfying.,1
Absolutely excellent. Would buy again.,1
So annoying! I regret every minute of it.,0
I loved this experience. It was delightful and engaging.,1
I'm genuinely impressed. wonderful and satisfying.,1
I'm genuinely disappointed. horrible and frustrating.,0
So annoying! I regret every minute of it.,0
So fantastic! I enjoyed every minute of it.,1
I'm genuinely disappointed. broken and frustrating.,0
Absolutely bad. Would never recommend again.,0
Absolutely excellent. Would watch again.,1
The feature was delightful. Great job.,1
So annoying! I regret every minute of it.,0
This was disappointing. The service made me annoyed.,0
So annoying! I regret every minute of it.,0
It worked perfectly and felt fantastic.,1
This was frustrating. The update made me annoyed.,0
Better than expected — great experience.,1
So smooth! I enjoyed every minute of it.,1
This was broken. The update made me annoyed.,0
It worked perfectly and felt excellent.,1
So horrible! I regret every minute of it.,0
It worked perfectly and felt delightful.,1
It barely worked and felt terrible.,0
The app was broken. Terrible job.,0
I hated this experience. It was broken and painful.,0
The service was bad. Terrible job.,0
The movie was disappointing. Terrible job.,0
So disappointing! I regret every minute of it.,0
The update was wonderful. Great job.,1
Worse than expected — bad experience.,0
It worked perfectly and felt pleasant.,1
Absolutely wonderful. Would use again.,1
This was annoying. The experience made me annoyed.,0
So broken! I regret every minute of it.,0
Worse than expected — bad experience.,0
Absolutely delightful. Would watch again.,1
Worse than expected — terrible experience.,0
So great! I enjoyed every minute of it.,1
So pleasant! I enjoyed every minute of it.,1
Absolutely terrible. Would never watch again.,0
I'm genuinely disappointed. broken and frustrating.,0
Worse than expected — broken experience.,0
It barely worked and felt annoying.,0
Absolutely terrible. Would never install again.,0
Absolutely broken. Would never buy again.,0
It barely worked and felt horrible.,0
This was great. The feature made me happy.,1
Absolutely fantastic. Would watch again.,1
I'm genuinely impressed. fantastic and satisfying.,1
Absolutely horrible. Would never buy again.,0
So delightful! I enjoyed every minute of it.,1
Better than expected — great experience.,1
I hated this app. It was frustrating and poorly made.,0
I'm genuinely impressed. delightful and satisfying.,1
I'm genuinely impressed. fantastic and satisfying.,1
I loved this experience. It was wonderful and high quality.,1
This was frustrating. The service made me annoyed.,0
I hated this movie. It was broken and messy.,0
This was delightful. The product made me happy.,1
I loved this movie. It was fantastic and high quality.,1
This was terrible. The experience made me annoyed.,0
Worse than expected — annoying experience.,0
Absolutely frustrating. Would never install again.,0
Better than expected — delightful experience.,1
Absolutely terrible. Would never recommend again.,0
I'm genuinely disappointed. broken and frustrating.,0
It barely worked and felt broken.,0
Better than expected — wonderful experience.,1
So annoying! I regret every minute of it.,0
Better than expected — delightful experience.,1
So delightful! I enjoyed every minute of it.,1
This was amazing. The feature made me happy.,1
It barely worked and felt awful.,0
I'm genuinely disappointed. disappointing and frustrating.,0
Absolutely horrible. Would never buy again.,0
This was fantastic. The update made me happy.,1
It worked perfectly and felt excellent.,1
Better than expected — excellent experience.,1
Better than expected — delightful experience.,1
The experience was bad. Terrible job.,0
Absolutely pleasant. Would use again.,1
The feature was smooth. Great job.,1
It barely worked and felt annoying.,0
Absolutely terrible. Would never buy again.,0
It worked perfectly and felt excellent.,1
Worse than expected — disappointing experience.,0
I hated this service. It was disappointing and poorly made.,0
It worked perfectly and felt pleasant.,1
I hated this app. It was disappointing and a waste of time.,0
The game was bad. Terrible job.,0
The app was excellent. Great job.,1
Worse than expected — horrible experience.,0
Worse than expected — terrible experience.,0
This was smooth. The feature made me happy.,1
It barely worked and felt frustrating.,0
I loved this feature. It was fantastic and high quality.,1
Absolutely frustrating. Would never use again.,0
It worked perfectly and felt amazing.,1
So fantastic! I enjoyed every minute of it.,1
This was wonderful. The experience made me happy.,1
Worse than expected — annoying experience.,0
I'm genuinely disappointed. awful and frustrating.,0
The game was delightful. Great job.,1
Better than expected — delightful experience.,1
This was fantastic. The game made me happy.,1
This was bad. The game made me annoyed.,0
This was horrible. The product made me annoyed.,0
This was smooth. The service made me happy.,1
I'm genuinely impressed. amazing and satisfying.,1
The app was delightful. Great job.,1
I'm genuinely impressed. fantastic and satisfying.,1
I hated this product. It was broken and painful.,0
This was great. The update made me happy.,1
Better than expected — smooth experience.,1
This was broken. The update made me annoyed.,0
I'm genuinely disappointed. horrible and frustrating.,0
Worse than expected — horrible experience.,0
So awful! I regret every minute of it.,0
Absolutely fantastic. Would buy again.,1
So broken! I regret every minute of it.,0
Worse than expected — frustrating experience.,0
The update was excellent. Great job.,1
Better than expected — amazing experience.,1
The app was great. Great job.,1
I'm genuinely impressed. smooth and satisfying.,1
I'm genuinely disappointed. horrible and frustrating.,0
It worked perfectly and felt great.,1
It worked perfectly and felt delightful.,1
Better than expected — wonderful experience.,1
So great! I enjoyed every minute of it.,1
Absolutely bad. Would never recommend again.,0
Absolutely broken. Would never try again.,0
I hated this update. It was frustrating and a waste of time.,0
This was great. The service made me happy.,1
This was pleasant. The game made me happy.,1
I'm genuinely disappointed. awful and frustrating.,0
Absolutely frustrating. Would never recommend again.,0
So amazing! I enjoyed every minute of it.,1
I'm genuinely impressed. smooth and satisfying.,1
So amazing! I enjoyed every minute of it.,1
I'm genuinely disappointed. annoying and frustrating.,0
This was horrible. The update made me annoyed.,0
It barely worked and felt broken.,0
So frustrating! I regret every minute of it.,0
I hated this game. It was awful and painful.,0
Better than expected — fantastic experience.,1
Absolutely great. Would install again.,1
Better than expected — fantastic experience.,1
I'm genuinely impressed. amazing and satisfying.,1
I hated this experience. It was horrible and confusing.,0
Absolutely broken. Would never watch again.,0
The app was pleasant. Great job.,1
Better than expected — great experience.,1
I'm genuinely disappointed. broken and frustrating.,0
I hated this service. It was broken and painful.,0
It barely worked and felt bad.,0
Absolutely excellent. Would use again.,1
It worked perfectly and felt wonderful.,1
So bad! I regret every minute of it.,0
Absolutely great. Would recommend again.,1
It barely worked and felt terrible.,0
Absolutely bad. Would never recommend again.,0
This was bad. The update made me annoyed.,0
This was wonderful. The movie made me happy.,1
It worked perfectly and felt smooth.,1
This was frustrating. The service made me annoyed.,0
I loved this feature. It was great and satisfying.,1
It barely worked and felt annoying.,0
The feature was delightful. Great job.,1
So frustrating! I regret every minute of it.,0
So terrible! I regret every minute of it.,0
